title,author,publish_date,keywords,description
[시청자브리핑 시시콜콜] 보이스피싱VS음성사기전화 어느 말이 나을까요? / YTN,YTN,2020-07-02,['YTN'],"시청자 모니터 보고서에 꾸준하게 올라오는 의견이 있습니다. 지난번엔 수순과 폭염이라는 일본식 한자를 순화해야 하는지에 대해 살펴봤는데 

이번엔 영어식 표현인 보이스피싱입니다. 모니터 보고서는 뉴스에서 사용되는 보이스피싱이란 말 대신 음성사기전화나 사기전화로 순화해 달라고 지적합니다. 

국립국어원에서 순화하기로 한 말이니, 순화하는 것이 적절하다는 것입니다. 실제 방송에서는 보이스피싱이 자주 쓰이고 있습니다.

 

보이스피싱과 비슷한 말로 스미싱도 있습니다. 보이스피싱이 전화로 개인금융정보를 빼내 돈을 빼앗는 사기수법이라면, 

스미싱은 문자메시지 등으로 휴대폰을 해킹하는 사기 수법입니다. 스미싱은 지난 2013년에 ‘문자결제사기’로 순화하기로 했습니다.

 

언어는 살아 움직입니다. 시대에 따라 새로 생겨나고 사라지고, 또 변화하기도 합니다. 언어에는 역사성이 있다는 이야기입니다. 

보이스피싱과 스미싱은 디지털 시대의 그늘을 그대로 반영합니다. 새로운 디지털 문화에 완전히 적응하지 못하는 세대를 속여 이득을 취하려는 사악한 범죄이기 때문입니다.

 

기자들은 기사를 쓸 때 많이 고민하는 것 가운데 하나가 단어 선택입니다. 특히 순화 대상 단어가 있고 현실적으로 사용되고 있는 단어가 다른 경우에는 더 그렇습니다. 

사기전화 대신 보이스피싱이 상대적으로 기사에 더 많이 쓰인 이유는 아마도 기자가 보이스피싱이라는 단어는 사회성을 어느 정도 획득했다고 판단했기 때문일 것입니다. 

실제로 사람들이 많이 쓰고 있다는 것입니다. 보이스피싱과 음성 사기전화, 시청자 여러분은 어느 말이 더 쉽게 다가오는지 궁금합니다. 

시청자브리핑 시시콜콜을 마칩니다. 감사합니다.

 

#보이스피싱#음성사기전화#스미싱#문자결제사기"
“이건 진짜 나도 속겠는데?” 소리 절로 나오는 요즘 보이스피싱 수법｜크랩,크랩 KLAB,2022-04-08,"['크랩', '보이스피싱', '엄마', '엄마번호', '통신사', '국제전화', '001', '006', '사기', '조심']","#크랩 #보이스피싱 #국제전화
요즘 모르는 번호로 전화가 걸려오면 ‘에이~ 보나 마나 스팸이나 보이스피싱이겠지'하고 넘기시는 분들 많으시죠? 그런데 만약 내 가족이나 지인에게서 걸려온 전화에서 납치 협박을 받는다면 어떨까요? 최근 새롭게 등장한 보이스피싱 수법이 화제입니다. 핸드폰 번호 8자리가 같으면, 단말기 내에 저장된 이름과 동일하게 뜨는 맹점을 이용한 건데요. 특히 갤럭시 유저보다 아이폰 유저가 더 위험할 수 있다고 합니다. 이번엔 또 어떤 악질 수법이 등장했는지, 예방할 수 있는 법은 없는지 크랩이 자세히 알려드릴게요!"
'교활해진 그놈의 목소리' 17개 공개...보이스피싱의 진화 / YTN,YTN,2021-05-17,"['source:영상', 'type:방송', 'genre:경제', 'format:기타', 'person:김상우']","[앵커]
'설마 설마' 하다가 자신도 어처구니없이 당하는 보이스 피싱 등의 금융사기가 최근 매우 교활해졌습니다.

당국은 최신 보이스피싱 수법을 파악할 수 있는 음성파일 17개를 공개하고, 메신저 피싱 예방을 위한 온라인 체험 프로그램 제공에 들어갔습니다.

보도에 김상우 기자입니다.

[기자]
""검거현장에서 대량의 신용카드와 대포통장이 압수가 되었구요. 네 ""

보이스 피싱의 새 유형은 크게 3가지.

첫째, 피싱의 대명사처럼 여겨졌던 연변 말투의 어눌한 남성 대신 부드러운 목소리의 여성이 등장했다는 것입니다.

""금전적인 대가를 받으시고 양도를 한 건지 아니면 명의를 도용당한 피해자인지""

두 번째는 낮은 톤의 신뢰감을 주는 목소리의 서울 표준어를 사용하는 남성이 전화를 거는 등 상대방의 불안 해소 기법이 진화하고 있다는 점입니다.

""네이버라는 사이트에 중고물품 사고파는 중고나라라는 카페가 있습니다. 네. 이용하십니까. (네 이용합니다.)""

특히 전문용어 등을 섞어가며 심리적 압박을 가하기도 합니다.

""개설하신 계좌는 어느 금융권은 어느 금융권이죠. (농협이요.) 제3자 발생하면 절대 안되는 사안이구요. (네.)""

세 번째는 전형적 수법인 수사관 등을 사칭하는 두 명 이상의 역할 분담 각본이 이전보다 훨씬 잘 짜여졌다는 점입니다.

[임연준 / 금융감독원 불법금융대응단 조사역 : 검찰 수사관 등을 사칭해서 잡음이나 제3자 목소리가 유입되면 증거자료가 안된다는 이유를 들면서 피해자들을 고립된 공간으로 유도해서 제3자의 간섭과 도움을 차단하는 특성이 있습니다.]

당국은 새 유형의 보이스피싱 음성파일 17개를 공개하고, 최근 급증하고 있는 문자 메신저 금융사기 예방을 위한 온라인 체험 프로그램 제공에 들어갔습니다.

YTN 김상우[kimsang@ytn.co.kr]입니다.

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0102_202105172109162147
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN & YTN plus 무단 전재 및 재배포금지"
지능형 보이스피싱 1금융권 사기 전화 음성녹음,철인태경,2019-11-12,"['철인태경', '보이스피싱']",절때 속지 마세요! 1금융권은 대출광고 문자를 보내지 않고 지점에서 보내더라도 담당자 성함을 넣는다고 합니다
"""유포할까요? 지워드릴까요?"" 개인정보 유출 협박 보이스피싱",whoscall후스콜,2015-12-17,[],"사기전화 피해를 막는 최선의 방법
스마트폰에 '후스콜' 설치해두기
▶ http://bit.ly/1K1ImSS"
2020.11.05. 보이스피싱 음성 데이터,Houyhnhnm,2020-11-04,[],보이스피싱 신고는 http://phishing-keeper.fss.or.kr/fss/vstop/main.jsp
"금감원, 보이스피싱 '그녀 목소리' 공개",연합뉴스TV,2015-07-30,['Yonhapnews TV'],"금감원, 보이스피싱 '그녀 목소리' 공개

[앵커] 

알고도 당한다는 보이스피싱, 흔히들 남자 목소리가 떠오르시죠. 

요즘은 차분한 목소리의 여자들이 많이 활동한다고 합니다. 

금감원이 실제 보이스피싱 음성을 확보해 공개했는데요, 혹시 여러분께 전화한 그녀는 아닌지 함께 들어보시죠. 
 
김종수 기자입니다.

[기자] 

또박또박 표준말에 전문용어를 자유자재로 구사하는 여성, 경찰을 사칭한 보이스피싱 조직원입니다.

[경찰 사칭 보이스피싱] ""범죄자들이 해외에서 불법 도박사이트 운영했던 운영총책들이에요. 대포통장을 저희가 압수수색 하다 보니까 선생님 명의로 된 통장하고 그런 부분이 확인돼서 연락을 드린 거예요.""

피해자 명의의 대포통장이 범죄에 쓰였다며 공범이 아닌지 캐물은 겁니다.

차분하면서도 사무적인 목소리로 자신을 검찰 수사관이라고 속이기도 합니다.

[검찰 사칭 보이스피싱] ""저는 부산 고검 형사1부 김유진 수사관입니다. 재판에 증거물로 사용되기 때문에 거짓말을 하시거나 숨기시면 절대로 안 되시고요.""

좀 더 노골적으로 이벤트 행사를 가장해 통장을 빌려달라는 경우도 있습니다. 

[이벤트 가장 보이스피싱] ""저희는 스포츠○○ 사무실이고요. 저희가 통장 1개당 3백만 원 임대료를 드리면서 통장 임대받고 있는데요. 혹시 기존에 안 쓰시는 통장 있으시면 임대할 의향 있으십니까?""

금융감독원은 보이스피싱 관련 피해가 다시 급증하는 추세라며 피해 예방을 위해 실제 사기범 목소리 21건을 공개했습니다.

연합뉴스TV 김종수입니다.

연합뉴스TV 제보:02-398-4409, yjebo@yna.co.kr

(끝)"
"""아... 이렇게도 하는구나"" 보이스피싱 실제 대화 [제보영상] / YTN",YTN,2022-11-03,"['YTN실시간', 'YTN']","10월 27일, 보이스피싱을 당한 제보자가 통화 녹음 파일을 YTN에 제보했습니다.

제보자는 ""강서 경찰서 한현주 경위라며 전화가 왔다"", ""발신자는 제 이름, 생년월일, 전화번호 등을 알고 있어 당황했다""라고 당시 상황을 설명했습니다.

통화 내용은 ""범행에 쓰인 대포통장이 발견되었다며, 명의가 내 명의라고 했다"", ""그러면서 정상적인 통장 외의 통장은 전부 동결 시켜야 한다며, 어떤 은행을 사용하는지와 통장 잔액도 물어보았다""라고 말했습니다.

제보자는 즉시 해당 경찰서에 다시 전화해 확인했지만, 한현주 경위라는 사람은 없었습니다. 

계좌 통합조회를 한 결과 자신의 명의로 된 대포통장은 없는 것을 확인했습니다.

다행히 제보자는 금전적 피해를 입지 않았습니다.

영상으로 함께 보시죠.

[영상 : 제보자 제공]
제작 : 김한솔 PD (hans@ytn.co.kr)"
의경 출신 김준수가 보이스피싱 전화를 받았을 때,너와 나의 황금별,2022-10-18,"['김준수', '시아준수', 'XIA', 'XIA준수', '라이브', 'LIVE', '케이팝', 'kpop', '시아준수콘서트', '김준수콘서트', 'xiahjunsu', 'xiah', 'xia', '시아준수콘서트토크', '시아준수토크', '김준수콘서트토크', '김준수토크', 'xiatalk', '준수콘서트토크', '지니타임', '시아준수지니타임', 'genietime', 'xiaconcert', 'concerttalk', '준수입덕', '시아준수입덕', '김준수입덕', '김준수씹덕', '시아준수씹덕', '준수', 'junsu', '샤준수', '사랑의콜센타', '사랑의콜센터', '김준수사랑의콜센타', '김준수사랑의콜센터', '비단길', '이노래웃기지', '준수노래', '김준수노래', '시아준수노래', '준수마스터', '미스터트롯', '김준수미스터트롯', '시아준수미스터트롯', '사랑의콜쎈타', '사랑의콜쎈터', '준수사랑의콜센타', '준수사랑의콜센터', '사콜준수', '준수사콜', '사콜시아준수', '사콜김준수', '김준수사콜', '시아준수사콜', '김준수뮤지컬', '시아준수뮤지컬', '드라큘라', '엑스칼리버', '모차르트', '도리안그레이', '엘리자벳', '데스노트', '천국의눈물', '준수미트', '김준수미트', '시아준수미트']","#김준수 #시아준수 #xia 

영특특특 시아준수는 속지않긔~~~

https://youtu.be/8ggJTnu_r44
https://www.vlive.tv/video/89077


비하인드 

1. 암막커튼 쳐놓고 자고있던 상황
2. 모르는 번호 잘 안잗는데 혹시 전에 쓰던 전호 지인일까봐 얘기 해주려고 받음
3. 전화 끊고 진짜 신고하려고 했었음
4. 부단장님의 본능적인 덕심(ㅋㅋㅋ)이 발휘되어 경찰관님들께 생일을 12월 15일로 말해주심 (법적상 1월 1일로 알고 전화해야 맞음)
5. 특유의 웃음소리로 계솟 비웃었음 (토드인줄)"
최근 완전히 달라진 보이스피싱 사기 유형 3가지!! 이 영상은 반드시 보셔야 합니다!(소름 끼칠 수도 있어요..),버미쌤,2021-05-19,"['보이스피싱', '보이스피싱 사기수법', '신종사기']","어제 금융감독원에서 최근 완전히 바뀐 수법으로 접근하는 보이스피싱 미공개 음성파일 17개를 공개했는데요. 어.. 진짜 이제는 알고도 당할 수 있을 것 같다는 생각이 들었어요. 그래서 최근 28살 취업 준비생을 죽음으로 몰고 간 보이스피싱 범죄자들이 이제는 어떤 수법까지 동원해서 접근하는지? 완전히 바뀐 수법 3가지를 준비해봤고요, 정말 이 영상이 많은 분들에게 알려져서 더 이상 슬픈 일이 생기지 않았으면 좋겠습니다. #보이스피싱, #달라진보이스피싱, #신종사기, #가짜공문, #버미쌤, #전화사기,"
보이스피싱 이제 AI가 잡는다~!,금융감독원(FSS Korea),2019-08-13,"['금감원', '금융감독원', '보이스피싱', '인공지능', '보이스피싱예방']","소셜라이브 NOW 시즌2-4회에서도 소개된 
""보이스피싱 방지 AI앱"" 소개 영상입니다 ^^

음성인식과 딥러닝을 통한 보이스피싱 확률분석으로 
AI앱(IBK피싱스톱)을 통해 통화중 보이스피싱을 감지해냅니다.


#보이스피싱 #인공지능 #AI앱"
"[시청자브리핑 시시콜콜] 보이스피싱 실제로 들어보니, ""통장에 21만 원?…음 오케이""",YTN,2022-11-04,"['YTN실시간', 'YTN']","YTN 시청자에게 걸려온 한 통의 전화

[보이스피싱범 ]
XXX 맞으십니까?

[제보자]
네.

[보이스피싱범]
네 수고하십니다. 지금 전화드린 곳은 강서경찰서 형사과에서 연락을 드렸고요. 저는 한현주 경위라고 합니다. 제가 전화드린 요점은 본인이 금전적인 대가를 받고 통장을 개설해서 판매한 가해자인지, 아니면 명의도용 사건으로 인한 피해자인지, 진위 여부 파악을 위해서 연락을 드린 건데. 현 시간 기준으로 XX은행에는 보호받으실 자산이 어느 정도 있으신지? 십만 원, 백만 원, 천만 원, 단위별로 말씀 주세요.

[제보자]
0원 있어요, 0원.

[보이스피싱범]
네.

[제보자]
XX에도 0원 있고.

[보이스피싱범]
네.

[제보자]
XX에는 21만 원 정도 들어있어요.

[보이스피싱범]
21만 원? 음 오케이 잘 알겠습니다. 조사 결과 나오시면 저희가 다시 한 번 연락을 드릴 겁니다.

[제보자]
네 알겠습니다.


CP : 원종호
PD : 정유빈

#보이스피싱 #사기 #제보"
보이스피싱 피해 ‘역대 최대’ 7천억 원…'얼굴 보고 돈 거넨' 피해도 5배↑ / KBS 2021.07.05.,KBS News,2021-07-04,"['보이스피싱', '보이스피싱피해', '서울중앙지검', '대면편취', '대면편취형보이스피싱', 'kbs뉴스', 'kbs 뉴스', 'kbs news', 'kbs', '뉴스', '뉴스광장', '김민수 검사', '피해금액', '12분에 1명씩']","보이스피싱, 이제 정말 흔한 범죄가 돼 버렸죠. 피해 금액이 계속 늘고 있는데 지난해 역대 가장 많은 7천억 원을 기록했습니다. 특히, 현장에서 돈을 건네받는 피해 사례가 급증했습니다.

 [리포트]

 [보이스피싱 실제 음성 : ""여기 서울중앙지검이고요. 이도현 수사관입니다. 지금 본인 앞으로 명의도용 사건이 접수됐어요.""]

 [보이스피싱 실제 음성 : ""정부 지원 상품이고요. 대환 대출이에요. 고객님.""]

 정부가 보이스피싱을  '민생침해범죄'로 보고 강력 대응하겠다고 나섰지만, 피해 금액은 계속 늘고 있습니다.

 2017년부터는 매년 '최대' 기록을 쓰더니, 지난해 사상 최대치인 7천억 원에 달했습니다.

 별도로 분류되고 있는 메신저 피싱까지 더하면 7천5백억 원입니다.

 코로나 상황인데도 계좌로 이체하는 수법은 줄고, 직접 만나 돈을 전달받는 '대면편취형' 수법이 오히려 5배로 늘었습니다.

 저금리 대출로 바꿔주겠다는 말에 당한 이 회사원도 1억 원이 넘는 현금을 직접 찾아 건넸습니다.

 [보이스피싱 피해자 : ""(은행에서) 돈을 천만 원 이상 안 해주잖아요. 혹시 뭐라고 하면 벤츠를 현찰 주고 산다고 그렇게 얘기해라...""]

 [김정현/금융감독원 불법금융대응단  : ""계좌이체형 사기는 기존에 지급정지 제도라든가 지연이체 제도 등 피해를 예방하고 구제하는 제도가 갖춰져 있기 때문에 사기범들이 그것을 우회하기 위해서 최근에는 대면편취형 사기를 집중 공략하고 있기 때문에...""]

 보이스피싱범들은 얼마나 잡히고 있을까?

 지난해 초  20대 취업준비생을 죽음으로 내몬 '김민수 검사'.

 [보이스피싱 실제 음성 : ""여기는 서울중앙지방검찰청 첨단범죄수사팀 팀장을 맡고 있는 김민수 검사예요.""]

 지난 3월 검거되기까지 1년 넘게 걸렸습니다.

 [이지완/부산경찰청 강력범죄수사대 : ""항공기 탑승객 명단 만여 명의 여권 사진과 출입국 내역을 대조해 나가면서 결국 김민수 검사를 사칭한 범인을 특정할 수 있었습니다.""]

 경찰이 지난해 검거한 보이스피싱범 3만 9천여 명 대다수는 인출책, 수거책 같은 하부 조직원, 그리고 계좌를 넘겨준 사람들.

 '김민수 검사' 같은 조직 상선은 검거 인원의 2%에 불과합니다.

 [김현수/경찰청 금융범죄수사계장 : ""실제로 총책들하고 콜센터 같은 경우에는 중국에서 운영을 하기 때문에 외국에서 경찰력은 한계가 있는 부분이 있습니다. 경찰도 올해부터는 본청하고 지방 시·도 경찰청에서 직접 (수사 전담) 조직을 구성해서 국제공조를 포함해 조직을 쫓겠다는 부분입니다.""]

 지난 한 해 발생한 보이스피싱 범죄는 메신저피싱까지 더해서 4만 4천여 건.

 하루 121명, 12분마다 1명이 당하고 있는 셈입니다.

 KBS 뉴스 윤봄이입니다.

 촬영기자:조영천/영상편집:이종환

▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=5225136

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#보이스피싱 #김민수검사 #서울중앙지검"
1분 안에 알아두는 보이스피싱 예방법,충북경찰,2021-08-29,[],"1분 안에 알아두는 보이스피싱 예방법

전화금융사기 대표적 유형에 대해 반드시 알아두고 피해를 철저히 예방합시다!

#경찰 #충북경찰 #음성경찰 #112 #보이스피싱"
보이스피싱 최신 사례와 피해 예방법,깨비증권 마블TV [KB증권],2021-06-24,[],"KB증권 소비자보호부 제공
보이스피싱 최신 사례와 피해 예방법

보이스 피싱이란?
- 음성(Voice)+개인정보(Private date)+낚시(Fishing)를 합성한 신조어

보이스 피싱 피해사례
1. 가족 또는 친구 사칭 금전요구
2. 기관 사칭 보이스피싱 및 피싱 사이트 유의
3. 코인설명회를 통한 유사수신, 사기 가상자산사업자(거래소 등) 폐업에 유의
4. 코로나19 재난지원금 지급 백신 접종을 빙자한 보이스피싱

금융사기 피해를 받는 경우 대처요령
1. 보이스피싱 피해 발생 시 신속히 지급 정지 요청
2. 개인정보 유출 시 추가 피해 예방을 위해
        - 개인정보 노출자 사고예방 시스템
        - 계좌정보 통합관리서비스(www.payinfo.or.kr)
        - 명의도용 방지서비스(www.msafer.or.kr) 활용"
법무법인에 검찰청을 사칭한 보이스피싱 전화가 왔습니다. #shorts #보이스피싱 #검찰청사칭 #법무법인,법무법인 든든,2022-11-01,"['법무법인든든', '든든', '이형준변호사', '황준선변호사', '장지호변호사', '이창헌변호사', '개인회생', '개인파산', '형사', '민사', '이혼', '보이스피싱', '검찰청사칭', '법무법인피싱', '사칭피싱', 'short', '든든로우카드', '로우카드', '카드캡터체리', '카드캡터사쿠라']","""법무법인에 검찰청을 사칭한 보이스피싱 전화가 왔습니다.""

... ㅋ

☆봉인 해제☆


든든 ㅋ.. 로-우 카드
댓글에 질문을 남겨주시면
바로 들어가서 답변을 받아드립니다ㅎ




#shorts #보이스피싱 #검찰청사칭 #법무법인

이 음성은 인공지능 음성/영상제작프로그램, 온에어스튜디오 OnAir Studio를 통해 제작되었습니다
https://abit.ly/onairstudio"
