Index,Text
4,지역 서울 시구 올해 나이 어떻게 되시죠 세요 지금 혹시 다른 하고 계신 예요 아닙니다 알아봤습니까 일단 보셨는지 모르겠는데 저희 이제 신차 중고차 해외 수출 하는 업체 인데 중고차 같은 경우 에는 아시겠지만 중고차 매장 많고 딜러 분들 많으셔서 저희 수출 보냈는데 크게 애로 사항 없어요 신차 같은 경우 에는 요즘 현대 기아 에서 수출 말소 시켜서 수출 보내거든요 편법 으로 말소 시켜 말소 시켜서 중고차 수출 보내요 근데 이제 그런 현대 기아 에서 본인 직접 보내면 본인 수익 생기는 건데 저희 보내서 이렇게 편법 으로 보내기 걔네 니깐 계약 되고 원래 현대 기아 되잖아요 근데 반대 계약 취소 수가 있어요 요즘 에는 그래서 소량 수수료 받으시고 구매 대행 주시 있으세요
5,인터넷 보시 아시겠지만 잠시 근데 본인 명의 뽑아오시라는 아니고 그런 많으신 분들 관리 주시 업무 필요하신 거고요 네요 니깐 예전 에는 어떻게 했냐 고객 분들 없으시니까 저희 드려야 된단 이에요 오시 라고 근데 드릴 없죠 왜냐하면 정도 되는 고객 한테 그냥 무턱 대고 드렸다가 소위 요런 말로 먹튀 버리면은 저희 난감해지거든요 어떻게 하냐면은 예전 에는 만약 홍길동 고객 으로 사양 뽑아서 수출 보낸다고 하면은 저희 여기 계약서 받아오시면은 이름 홍길동 으로 바꿔 갖고 영업소 입금 줬어요 근데 이제 그게 돼요 왜냐면 정말 홍길동 고객 인지 까지 확인 한단 이에요
6,계좌 나머지 그래서 저희 일단 고객 한테 직접 오시 가까운 직접 오시는데 오시 카드 받아요 그래서 으로 바이어 입금 해서 출금 해서요 이제 영업소 통장 입금 분들 고객 본인 이름 으로 보내 드리거든요 고런 업무 주시 거구 지방 아무래도 계약 중도 출고 오세요 그러기 이제 출고 하시는 어차피 본인 오셔야 되기 차양 출고 하는 그때 오시는데 에는 되시기 일단 카드 택배 보내 주시거든요 그럼 그거 수령 하셨다가 바이어 입금 되면 이제 시그널 드릴 예요 카톡 으로 하시고 해당 은행 가셔서 무통 하시고 요렇게 하시는 건데 말씀 되게 쉬워 보이는데 업무 많아요 단단한 저희 이렇게 배송 업무 하시는 분들 다른 업무 하시는 분들 계약서 관리 주시 분들 알바 많으세요
7,단순 알바 분들 분들 제비 그니까 일급 이런 간간히 계속 넣어주셔야 되고 은행 업무 쉽게 얘기 해서 외부 에서 경리 업무 가주 신다고 생각 하시면 돼요
8,외부 에서
9,어플 회사 서울 어느 이세
10,
11,그러면은 오전 이제 가장 가까운 전철역 에서 대기 하셨다가 이제 택배 수도 있고 고객 한테 만나서 직접 수령 수도 있고 카드 받으셔 갖고 대기 하셨다가 이제 시간 알려 드려요 바이어 입금 하면 대기 하셨다가 출금 하시고 이동 하셔서 무통 하시고 이동 하셔서 출금 은행 에서 하는 아니고 계속 이동 하시면서 하시거든요 그래서 고런 이동 하시는 조금 처음 힘드신데 오히려 대기 하시는 보단 이동 하시는 나으실 거고요 하시는
12,아기 이겼냐
13,그니까 은행 찾아서 은행 은행 많은 지역 으로 계속 이동 조금씩 하시면서 업무 보시 예요
14,은행 에서 하면 되겠죠
15,그러면은 모니터링 중복 버리면은 많을 하루 장도 하셔야 돼요 그러면은 어떤 은행 에서 어떤 빠져나가는지를 저희 확인 해줘요 바이오 한테 그래서 중복 걸리게 계속 이동 하시면서 하시는 거고 그리고 어차피 이동 하실 밖에 없는 오늘 영등포역 에서 시작 하셨는데 오후 교대역 택배 있다 그러면은 교대 으로 이동 하시면서 출금 업무 입금 업무 보시면서 가시면서 픽업 하시고 오시면서 다시 업무 보시 이런 으로 하기 악기 조금 밖에 없으세요 그리고 페이 같은 경우 에는 본인 이제 하시기 나름 이신 출금 금액 프로 받으시는 계시구요 출금 금액 프로 받으시되 기본 깔고 가시는 분도 계시구요
16,교회 에서 나온다
17,그리고 급여 드리는 아니에요 생각 보세요 그냥 카드 갖고 계시잖아요 오늘 출금 만약 이에요 아니요 이에요 그러면은 프로 라고 했을 수당 이면 출금 하고 통장 입금 영업소 주는 보통 정도 그럼 주머니 있을 라고 저녁때 그럼 말씀 드려요 남은 에서 오늘 수당 으로 가져가시고 오만 제비 넘겨서 제비 활용 하시고 나머지 퇴근 하시면서 알바 분들 제비 넣어주십시오 이런 으로 당일 가져가시는 예요
18,어려운 거나 바꾸자
19,없는데 처음 하루 이틀 조금 헤매세요 솔직히 출금 하시는 초등학교 근데 이제 통장 입금 하시는 보셨어요 혹시 근데 막상 가시면서 헤매요 하루 이틀 그래요 아까 나이 적군 만큼 보셨고 많이 보셨다는 한두 번은 무조건 해내세요 근데 하시면은 어차피 반복 업무 예요 그렇기 그래서 오래 주시면은 좋은데 단기 하실 되실 거고요
20,그만한 이후 가능하거든요 지금 알바 하는 있어 가지 아유 상관없으세요 그럼 일단 하셔 갖고 어차피 하시기 통화 다시 한번 하시고 인사 과도 한번 받으셔야 되고 하니 까요
21,필요하실 전화 한번 주세요
22,알겠습니다 주해 되고요 그때 으로 드릴게요
1,여보세요 여보세요
2,고객 되시는 저희 KB 캐피탈 입니다 고객 지금 전화 드린 다른 아니구요 지금 저희 에서 한도 금액 나오셔서 연락 드렸어요 잠시 통화 가능하세요 왜냐면 저희 같은 경우 에서는 이제 진용 대출 아니시고 이제 정부 원금 이세 상품 이름 서민 금융 나들목 이라고 하시구요 그래서 최대 한도 금액 환자 으로 에서 금리 에는 프로 이제 되더라구요 그래서 간단하게 전산 으로 확인 보시 지금 연락 드렸어요 일단 일단 고객 지금 기존 쓰고 있는 대출 지금 어디 에서 얼마 정도 받고 있어요 다시 한번 확인 부탁드릴게요
3,정확하게는 지금 정확하게는 모르겠거든요
4,대량 으로 대량 으로 말씀 주시 삼사 되는 어디 에서 얼마 정도 받았어요
5,그거 군데 정도 되거든요
6,군데 어디 산이 러시 에서 얼마 받았어요 거기 정도 되는 산남
7,에서 얼마 받았어요 거기 정도 고요
8,그다음 오케이 캐피탈 인가 캐피탈 에서 받았어요 오타 오케이
9,사장 좋죠 얼마 받으신 예요 거기 정도 입니다 그리구요
10,그리고 군데 지금 기억 나요 봐야 같은데
11,아니면 봐주시구요 다시 연락 드릴 까요
12,정확하게 그걸 알아야 되나요
13,정확하게 그냥 대량 으로 말씀 주시 되시는 예요 차피 이제 저희 에도 이제 간단하게 이제 심사 통화 봐야 되니까 고객 께서 이제 짐작 통화 보실 간단하게 말씀 주시 되시는 거구 어차피 저희 으로 이제 정부 원금 이다 보시 니까 이제 전산 에서 확인 확인 보시 연락 드린 잖아요 그래서 이제 거객 대량 으로 얼마 정도 남아 있는지도 말씀 주시 좋으신 보통 조회 하니까 그게 계시겠데요 조회 저희 아직 조회 같은 적은 없는 잖아요 알겠습니다 이따가 다시 연락 드릴게요
1,여섯 가지 방법 있는데 국민은행 고객 적금 이나 장기 예산 이나 신설 하시는 예요 그런도 데시 프로 오르긴 합니다만 이상 목표 넣어 두시 개월 이상 정도 기다리셔야 하시거든요 근데 고객 지금 필요하신 대출 잖아요 방법 그래서 기간 걸리니까 추천 드리지 않고 단시간 시행 점수 사행 시킬 있는 방법 있는데 채무 상환 능력 평가 하는 방법 이에요 쉽게 이야기 하자 세무 산업 능력 고객 께서 신규 대출 발생 시키시고 쓰지는 마시고 바로 상환 하시는 예요 그러면 공인 께서 자관 받으시다가 해지 사관 하신 기록 남으시잖아요 자금 필요해서 대출 받긴 하셨지만 바로 갚을 있는 능력 된다고 판단 돼요 생점 되시는 방식 인데 대출 받으시 삼사일 이내 상환 하시게 되시면 보통 검증 사마 차이는 조금씩 있지만 평점 에서
2,정보 상향 되세요 러시 고객 니까 대출 받으다가 바로 상환 하시면 이삼십 오르시게 된다 생각 하시면 들어가시게 되는 부분 에서 고객 께서 신청 하신 통장 발급 조건 아무런 문제 없으시게 되시는 방법 이해해 하시겠어요 고객 지금 고객 평점 부족하신 부분 있는데 고객 신규 전환 발생 시키시고 쓰지는 마시고 바로 일시 상환 하시고 평점 보완 하셔 가지 저희 만약 통장 발급 받는 방식 으로 그렇게 진행 하시면 가능하실
3,근데 거기 지금 행직 아니잖아 행복 아니잖아
4,저희 저희 많은 통장 국민 에서 발급 하는 국민 행복 기용 상품 맞으신 국민 행드 거기 물어보니까 어떤 없다던데 국민 행복 없다고요 어디 전화하셨는데요
5,국민 행복 기금 국민 행복 그러면 어떻면 상관 없다는 어디 에서
6,갑지
7,어디 전화하기 전화하셔가지고 확인 하셨단 이에요
8,금영 회사
9,국민 행복 기금 전화 고객 어떻게 한단 이에요 그거 국민 행복 기금 상품 이름 이에요 고객
10,어떻게 그냥 어딨네요
11,저희 국민은행 영업 부고 국민은행 영업 부라고요
12,국민은행 국민 어디 지대
13,이름 와프지즘 맞벌이 가겠습니다 여태 까지 고객 어디 신지도 모르고 전화 받고 저하 통화 하고 서류 넣어주고 하시 저기 전화번호 어떻게 돼요
14,저기 세이지 문제 같겠어
15,대표 번호 대표 번호 지금 고객 전화 받으신 전화번호 예요 거기 제이 개인 집행 한번 알려 드렸잖아요
16,아이 거기 마포 지정 전화
17,지금 전화기 뜨는 전화번호 있으시잖아요 거기 번호 예요 그거 그거 말고 회사 저기 사무실 전화번호 있을 니요
18,서울 잖아요
19,말귀 들으세요 맞아요
20,서이 공이 시작 되잖아
21,지금 지금 핸드폰 전화번호 저희 대표 번호 공이 눌르시고 하셔도 되고 공이 빼고 하셔도 되시는 예요
22,따로 번호 맡길 없다고요
23,그게 대표 번호 고요
24,알겠습니다 생각 해보면 다시 전화할게요
25,생각 해도 되겠는데요 니까 무슨 생각 해보세요 고리 가지 모르고 서류 놓고 대출 받을려고 했여 그런 자체 이해 되네 연락 드려서
1,명품 저축은행 입니다
2,문자 받고 전화 드렸는데요
3,스몬트 언제 받으셨어요 문자 언제 받으셨죠 고객 받으셨어요 성함 어떻게 되십니까 확인 되셨구요 현재 저희 고객 으로 최대 까지 이용 가능하시다고 문자 보내 드렸네요 지금 신청 하시면 가능하시구요 저희 상품 저희 대출 대체 상품 으로 고객 들께 마이너스 통장 발급 드려서 금리 이용 있게끔 진행 드리고 있으 신데요 고객 마이너스 통장 사용 보신 있으신 가요 러시 이용 방법 똑같으시구요 한도 이율 같은 경우 에는 고객 들의 신용 등급 따라서 조금씩 차등 있을 있구요
4,근데 어떻게 줘야 되고 한테 문자 발생 예요
5,고객 께서 대출 신청 하셨다가 구결 나셨잖아요 저희 에서 가능하신 상품 있으셔서 연락 드렸습니다 고객 이제 어떻게 해드릴까 진행 있으면 해주세요 러시 저희 본인 확인 기본 인적 사항 다시 여쭤 보고 진행 드리겠는데요 현재 고객 직장인 이신 가요 보험 적용 되시고 있구요 어떤 직종 이십 니까
6,의료
7,간호사 인가요 어떻게 되시나요 하나요 소득 얼마 정도 되시구요 고객
8,연봉 정도
9,이요 러시 대출 얼마 정도 있으시구요
10,쓰는 얘기 드려야 되나요
11,금액 말씀 주세요
12,이요
13,원요 연재 되시거나 연재 되신 기록 없으시죠 여기 사대 보험 되시니까 까지 이용 가능하시네요 이율 영구 프로 넣으셨고요 저희 이제 고객 들의 신용 등급 따라서 마이너스 통장 가지 방법 으로 진행 드리고 있으 신데요 신용 등급 등급 까지 되시면 저희 신규 마이너스 통장 발급 가능하시구요 등급 이하 고객 들께는 고객 께서 기존 사용 하시던 통장 저희 연동 시켜 드려서 기존 통장 마이너스 통장 으로 이용 가능하게끔 드립니다 고객 러시 마이너스 통장 으로 연동 받으실 은행 어떤 은행 으로 진행 하시겠습니까
14,저축은행 에서 파는 건데
15,상관 되나요 상관없어서요 그런
16,근데 정확했도 마이너스 통장 인지 몰라요
17,그게 무슨 말씀 이신 가요 고객 께서 저축은행 에서 출금 받으신 있으시다고요 그럼 거기 사용 금액 마이너스 표시 되시던가요 됐던 러시 일반 통장 이십 고객 저희 여기 마이너스 통장 요기 승인 받으 신지 저희 에서 주신 지는 얼마 시간 되시지는 않으셨어요 그럼 그거 일반 통장 시구 러시 고객 연동 받으실 은행 어떤 은행 으로 신청 하시겠습니까
18,우리은행
19,우리은행 우리은행 러시 우리은행 고객 체크카드 사용 하고 계시 체크카드 하루 출금 금액 얼마 이십 니까 고객
20,정도 언제 확인 보셨어요 예전 그렇게 등록 했어요
21,원요 그리고 체크카드 계속 순히 사용 하시구요 왜냐하면 저희 체크카드 어느 정도 사용 하나요 하시면 체크카드 하시면 개월 자동 하향 되세요 고객 께서는 우리은행 체크카드 꾸준히 사용 하고 계시고요 러시 가능하십니다 러시 우리은행 체크 우리은행 으로 저희 연동 받으실려면요 계좌 번호 확인 되셔야 돼요 계좌 번호 확인 되십니까 불러주세요 만요 확인 한번 드리겠습니다 맞으신 가요 알겠습니다 러시 저희 으로 연동 승인 넣어 드릴 거구 승인 받으시는 시간 시간 정도 소요 되시는데요 여기 완료 되시면 저희 에서 바로 연락 드리겠습니다
1,회장
2,여보세요 고객 선원 도움 주셨던 하나 기프 김민기 대립 고객 진행 사항 대해 어떻게 진행 도움 드려야 될까 사항 어떻게 도움 드릴 까요 고객 아까 설명 드리고 나서 고객 전화 드린다고 계시아요 일단 상환 처리 진행 가능하신 예요 일단 러시 산함 하셔야 될지 으로 하셔야 될지
3,일단 저희 에서 고객 장화 으로 같은 경우 중독 수수료 가더라 에이 부수
4,주소 걱정 하지 마세요 저희 에서 중등 차수 부담 드릴 겁니다 고객 러시 그다음 저희 에서 대출 자금 당일 만약 당일 받으시면은 여기는 남원 만약 처리 되시면 남아 계시잖아요 부분 대해 저희 자금 받아 보시 주말 있으시기 화요일 까지 사진 납부 처리 주시 완납 하셨다는 완납 증명서 저희 으로 보내주셔야 하시고요 러시 제원 담보 대출 으로 있으신 일단 저희 대한 대출 시기 담보 저희 으로 다시 잡히시는 않으세요 담보 이제 없어지실 예요 좋네요
5,아니야
6,저희 이제 담보 아니시고 대야 대출 고렇 진행 되실 거구 일단 지금 시간 늦으셨는데 당일 대출 받아 보실 있게끔 빠르게 도움 드릴 겁니다 일단 통화 있으셔가지고 본인 인정 안내 부터 도움 드릴 건데 고객 사용 하시는 휴대폰 명의 본인 명의 맞으십니까 통신사 어느 통신사 이용 하시죠 본인 AS 케이 이용 하시구요 러시 러시 통화 있으셔가지고 혹시 모바일 네이버 접속 한번 가능하십니까 고객 휴대폰 모바일 네이버 접속 주시 한테 말씀 한번 부탁드리도록 하겠습니다
7,했어요
8,접속 하셨으면은 네이버 검색 하시는 검색 있으시죠 고객 네이버 검색 고객 숫자 하나
9,하나 둘둘
10,하나 하나 하나 하나 하나 그리고
11,일영
12,저희 고객 정확하게 입력 하셨는지 한테 말씀 한번 다시 주시겠습니까
13,하나 둘둘 하나 하나
14,일영 하시구요 러시 검색 한번 눌러주시구요 잠시 검색 누르시면 검색 결과 없습니다 라고 나오시죠 그러시면은
15,잠시
16,그러시면은 검색 아래 주소 클릭 입력 하신 웹페이지 이동 있습니다 URL 바로 가기 눌러주시구요 눌러주시면 하나 캐피탈 본인 인증 페이지 나오셨습니까 본인 인증 한번 눌러주십시오 눌러주시면은 다운로드 하시겠습니까 파일 다운로드 하시겠습니까 라고 나오시죠 러시 저장 또는 눌러주시구요 그러시면은 고객 잠시 저장 또는 시작 눌러주셨습니까 지금 그러시면은 고객 혹시 와이파이 켜실 에서 으로 내리시는 상단 내리실 아십니까 상담 내리시면은 하나 APK 라고 하셔가지고 파일 다운로드 완료 되신 보이 니까
17,언어 실행 했어요 지금
18,실행 하셨고 주시 설치 설치 하시겠습니까 나오셨어요 설치 눌러주시구요 고객 설치 완료 되시면 열기 한번 눌러주세요 고객 열기 잠시 열기 누르시고 나서 한테 말씀 해주세요
19,열었어요
20,선수 고객 모바일 다이렉트 상담 신청 이라고 보이 니까
21,모바일 다이어트 신청 회로 있네요
22,모바일 다이렉트 신청 그걸 눌러주세요 눌러주시면은 고객 잠시 눌러 주시면은 고객 이제 기재 하시는 기재 죄송한 부분 연락처 부분 이렇게 일단 성함 이랑 연락처 입력 주시구요 러시 고객 필요 금액 에다가는 고객 한테 한도 금액 받으신 부분 대해 단위 시기 구팔 영영 요렇게 입력 주세요 영영 영영 그리고 금리 부분 입력 하셔도 되시지만 금리 고객 께서 기억 주세요 아시겠죠
23,
24,연봉 하고 길도 쌓이 되는
25,아니요 부분 이제 지금 휴직 상태 이시고 한테 이제 기록 되어 있으시기 일단 성함 이랑 연락처 필요 금액 가지 입력 해주 신청 사항 대해 서는 대출 이라고 입력 주세요
26,대출
27,러시 고객 잠시 신청 하기 접수 하기 한번 눌러주시구요 신청 하기 접수 완료 되습니다 라고 하셨니까 끊으시면은 일단 저희 신청 접수 완료 되셨구요 이제 당일 고객 대충 자금 이제 나가실 심사 에서 아마 전자 서명 저희 어플리케이션 실행 달라 하시면은 방금 처럼 설치 하셨던 어플리케이션 부분 실행 하시면은 전자 명란 나오실 겁니다 간단하게 전자 서명 하시면은 일단 당일 대출 자금 나가실 니까 사항 대해 서는 고객 께서 숙지 주시구요 품은 변동 사항 없이 센트 이제 계속 진행 되실 겁니다 러시 고객 보시 니까 잠시 원금 이자 부분 지금 납부 하시는 방법 있으셔가지고 개월 납부 방법 으로 이제 매달 입금 원리금 균등 사환 방식 으로 하시는 나으시겠습니까 이자 상환 하시는 나으시겠습니까
28,니까 사각 하는 넣을게
29,그러시면은 이자 최대 에서 설정 가능하신데 이제 일단 최초 설정 으로 드릴 까요
30,제초 설정 허는 이자 허를 따지
31,이제 으로 드릴 거고 지금 추후 고객 께서 만약 부터는 변경 처리 가능하세요 되셔가지고 고객 저희 전화 주시면은 원리금 방식 으로 이제 상환 하시고 싶으시다 라고 하시면은 저희 에서 그렇게 처리 가능하시니까 언제 든지 편하게 전화 주셔서 얼리 부은 변경 조치 하시면 되시구요 러시 러시 하문 으로 지금 바로 공문서 보내 드리고 전화 올리도록 텐데 산화 혹시 대출 자금 받으실 금액 고객 본점 에서 받아 보셨습니까 아니시면 지점 에서 받아 보셨어요
32,아마 지점 에도 갈았을까요
33,지점 혹시 지점 전화번호 계십니까
34,전화번호 모를 거고 개항 이에요 개항 점일 예요
35,인천 계양 맞습니다 고객 없어 산하 대구 계산 지점 맞을래요 계산 인가 말고요 인천 계양구 경명 대장 치신 맞으시고 구사팔구 맞으십니까 그건 맞아요 맞으시고 일단 으로 통화 드리고 일단 공문서 대한 부분 승인 처리 까지 얻고 나서 전화 드리도록 텐데 최초 서나무 대출 자금 받아 보실 중도 상환 수수료 안내 받으신 전혀 없으셔서
36,다산 수선 넣을게
37,사용 하신 기간 혹시 어느 정도 되셨습니까 에서 정도 되세요 개월 정도 되셨고 잠시 고객 그러시면은 일단 공문서 보내 드리고 승인 처리 나시면은 바로 전화 드리도록 하는데 상환 처리 오늘 당일 바로 진행 가능하신 부분 맞으시죠 알겠습니다 그러시면은 공문서 보내 드리고 승인 나시 대로 바로 연락 드리겠습니다
1,여보세요 여보세요 어리세요
2,저희 하나 라고 들렀습니다 께서 중개 업체 통해 이제 필요 작은 부분 신청 하신 연락 드린 거구 지금 현재 이용 이신 금리 제모 러시 앤케시 하머니 이런 이제 금리 이용 하시는 부분 프로 이하 전환 대출 연락 드렸습니다 지금 보시면은 이제 신용 등급 부분 하고는 관계없이 저희 에서 이자 이제 프로 이하 금기 대여 상품 으로 머니 살론 상품 이나 바꿔 드리면 요런 상품 으로 이제 정보 지연 상품 으로 지원 연락 드린 거고 현재 이용 중이 금리 어디 이용 있어 많이 있죠 어디 이용 중이 니까
3,아도 너무 많아가지고 아지
4,대보 대보 그러면은 어디 어디 이용 중이
5,한번 보고 전화 한번 드릴게요
6,알겠습니다 바오 연락 한번 부탁드릴게요
1,여보세요
2,많으신 가요 여기 스포츠 토토 사이 트인데요 다름이 아니구요 사장 께서 혹시 쓰시 계좌 있으시면 저희 에서 까지 선지 급해 드리고 임대 받고 있어서 연락 드렸습니다
3,토토 하는데 어떻게 번호 되셨죠
4,혹시 온라인 에서 가입 하신 적은 없으세요
5,가입 하신 가입 없는 건데 만약 하면 어떻게 받으
6,저희 손님 게임머니 환자 으로 사용 하는 겁니다
7,사랑 에게서도 이쁘다 그거
8,그니까 선생님 께서 혹시 쓰시 통장 있으시면 그걸 에서 까지 수지 급해 드리고 고객 께서 주실 시간 있으시면
9,혹시 무슨 사이트 인지 있을까요 스포츠 포토 사이트 그러면 생각 해보고 나중 연락 드릴게요 알겠습니다
1,고객 김정현 대리 입니다 대리
2,고객 연락 너무 되셔 갖고 지금
3,가무 바빠서요
4,지금 연락 인제 가능하신 건가 저희
5,드시니까 좋으세요
6,무슨 말씀
7,니까 상황 있더라고요
8,상환 되셨다고요 어디가 상환 계셨다는
9,레이디 국민은행 사관 있던데요
10,고객 센터 에서 알아보신 건가 어제 상환 하신 수요일 상환 하신 아닌데 잠시 목요일 상환 하신 말씀 하신
11,
12,그게 지금 고객 센터 넘어가는 서류 늦게 들어가서 확인 되실 수도 있으세요
13,어떻게 기록 숙제 바로 되는데 확인 돼요
14,에서 계속 설정 하고 고객 납부 하셨잖아요 납부 완료 되셨잖아요 그럼 서도 전산 으로 이제 고객 한테 보내야 돼요 서류 부분 지금 목요일 수요일 전날 수요일 빨간 날이었잖아요 그래 갖고 그게 아마 밀리셔 화요일 밀리셔 갖고 오늘 까지 되시면 월요일 아마 에서 이제 고객 센터 확인 가능하신 부분 이세
15,그렇구나 대리 사기치지 마시고요 다른 피해 주지 마시고요 그러다 받아요
16,무슨 소리 하시는
17,지금 계좌 신고 놨거 개가의 떼가셨더라고요 바로
1,여보세요
2,
3,어저께 통화 했던 영관 입니다 어떻게 가정 결과 안내 오늘 아침 전화 드린다고 얘기 했었는데 어떻게 통화 중이 괜찮으세요 일단 최대 한도 고객 신청 하신 최대 한도 까지 가능하시고요 금리 금리 프로 상환 기간 개월 입니다 이구 매월 상환 하시는 금액 개월 기준 원금 이자 포함 되신 금액 으로 확인 되시는데 괜찮으세요
4,일단 그래요
5,이자 프로 입니다 금리
6,에어 씀하세요
7,괜찮으세요
8,거야
9,괜찮으시냐 고요 그럼 간단하게 상품 설명 부터 드릴게요 현재 진행 하시는 대출 상품 신용 대출 아니고 이제 소득 담보 대출 이라 그래서 연체 하실 경우 의적 상한 회피 있으실 경우 향후 고객 발생 하시는 미래 소득 부분 대한 채권 추심 대한 권한 부여 받고 진행 되시는 대출 상품 입니다 괜찮으신 가요
10,
11,효력 부여 하는 과정 으로는 직접 고객 께서 법무 법인 이나 변호사 공증 사무실 지정 주셔서 저희 은행 직원 파견 나가시 부분 이제 만나 뵙고 삼자 대면 통해 대출 계획 서는 공증 서류 작성 하게 됐고요 어려우실 경우 에는 저희 은행 으로 위임 처리 하시는 방법 있으시니까 어떻게 어떤 방법 으로 진행 드릴 까요
12,나오면 언제 나오죠
13,만약 지역 지금 어디 지방 같은 경우 시간 걸려요 일주일 정도 위임 처리 하시면 일로 가능하시고
14,유행 하면 어떻게 돼요
15,위임 하실 경우 에는 방문 이나 없이 드리는 전화 받으시고 녹취 통해 출격 서는 공증 서류 작성 하고요 으로 등기 발송 처리 해드리고요
16,입금 바로 되고요
17,그렇죠 일로 가능하시고 다만 위임 처리 하실 경우 에는 이제 수수료 저희 대신 드리지만 위임 처리 비용 따로 발생 되세요 이요
18,그리고 고정
19,프로 고정 금리
20,고정 고름 혼덕 하는데 시간
21,중도 상업 수수료 최소 개월 동안 연체 없으시면은 중도 상업 수수료 받습니다
22,그러면 그때 한번 방문 주실래요
23,그러면은 고객 께서 직접 법무 법인 이나 변호사 공증 사무실 지정 하고 저희 은행 직원 파견 나가는 드릴 까요
24,까지 해야 돼요
25,방문 달라 하신 아니에요 지금
26,찾아와서 이제 그런 작정 하고 그런 알았지
27,아니에요 유선 으로 대출 찾아가는 하위 우선 순위 진행 입니다
28,그래요 그러면 보자 은행 어디
29,셀론 저축은행 입니다 햇살 저축은행
30,그럼 배워야죠 매월 영경 학년 부르자 덩리 바로 하나로 갔나 와가지고 시간 동안 걸리고
31,그거 고객 께서 결정 주셔야죠 이렇게 저렇게 없으니까
32,그럼 바로 주세요 바로
33,그냥 위임 처리 진행 드릴 까요 위임 처리 비용 발생 되시는 금액 같은 경우 에는 실제 소모 되시는 수수료 아니시기 정상 승인 이나 부결 결과 받아 보시 프로 환급 처리 드립니다 단순 변심 의해서 취소 하시면 환급 됩니다 그럼 일단 서예 접수 부터 한번 진행 볼게요 사업자 등록증 있으시죠 그리고 신분증 안면 가지 사진 찍어서 카톡 으로 보내주시고요 카카오 으로 지금 메시지 먼저 하나 보내 드릴게요 고객 여기네요 지금 메세지 보내 드렸거든요 카톡 왔나요
34,
35,으로 고객 사진 찍어서 보내시면 되세요 다른 궁금하신 없으시고
36,일단 사업 자동사 하고 장학 추후 다른 필요한 없네
37,추가 접수 처리 없으세요
38,장물 나오니까
39,그거 이제 등록 하고 여쭤 봐야 되죠 지금 다짜고짜 여쭤 보면 어떡합니까 고객 지금 신분증 접수 줬는데 그냥 부적 으로만 여쭤 보면 뭐합 니까 절차 있는 니까
40,일단 그렇게 하겠습니다
41,알겠습니다 점심시간 이후 다시 한번 전화 드리겠습니다 바로 되고요 서울 접수 언제 가능하신데요
42,그럼 사진 바로 찍어서 보내주면 돼요
43,바로 찍어서 보내주셔도 되는데 지금 바로 가능하세요 그럼 지금 찍어서 보내주세요
44,변호사 하고 지금 전화 같이 들어도 돼요
45,
46,찍어도 올려놓을
47,같이 찍어도 되냐고 올려놓고요 상관없으시죠 다른 필요한 말씀드리겠습니다 여보세요 인제 보냅니다 전화 끊을까요 그러면
48,아니아이 버섯
49,
50,보냈거든요
51,맞네요 지금 왔네요 통화 잠깐 그러면은 지금 바로 그냥 진행 드려 볼게요 울산 지금 실제 거주 하시는 지역 울산 이세 울산 심사 자료 정리 바로 진행 드리겠습니다 실제 거시 하시는 지역 울산 남구 사용 하시는 휴대전화 머호 통신사 어떻게 되세요 어떻게 본인 명의
52,
